color,bestColor,contrast,compliance
#000000,#ffff00,19.56,AAA
#000008,#ffff00,19.49,AAA
#000010,#ffff00,19.41,AAA
#000018,#ffff00,19.3,AAA
#000020,#ffff00,19.16,AAA
#000028,#ffff00,18.97,AAA
#000030,#ffff00,18.76,AAA
#000038,#ffff00,18.5,AAA
#000040,#ffff00,18.21,AAA
#000048,#ffff00,17.88,AAA
#000050,#ffff00,17.53,AAA
#000058,#ffff00,17.14,AAA
#000060,#ffff00,16.73,AAA
#000068,#ffff00,16.3,AAA
#000070,#ffff00,15.85,AAA
#000078,#ffff00,15.38,AAA
#000080,#ffff00,14.91,AAA
#000088,#ffff00,14.43,AAA
#000090,#ffff00,13.94,AAA
#000098,#ffff00,13.46,AAA
#0000a0,#ffff00,12.97,AAA
#0000a8,#ffff00,12.49,AAA
#0000b0,#ffff00,12.02,AAA
#0000b8,#ffff00,11.56,AAA
#0000c0,#ffff00,11.1,AAA
#0000c8,#ffff00,10.66,AAA
#0000d0,#ffff00,10.23,AAA
#0000d8,#ffff00,9.82,AAA
#0000e0,#ffff00,9.42,AAA
#0000e8,#ffff00,9.03,AAA
#0000f0,#ffff00,8.66,AAA
#0000f8,#ffff00,8.3,AAA
#000800,#ffff00,18.9,AAA
#000808,#ffff00,18.84,AAA
#000810,#ffff00,18.76,AAA
#000818,#ffff00,18.66,AAA
#000820,#ffff00,18.53,AAA
#000828,#ffff00,18.36,AAA
#000830,#ffff00,18.15,AAA
#000838,#ffff00,17.91,AAA
#000840,#ffff00,17.64,AAA
#000848,#ffff00,17.33,AAA
#000850,#ffff00,17.0,AAA
#000858,#ffff00,16.63,AAA
#000860,#ffff00,16.25,AAA
#000868,#ffff00,15.84,AAA
#000870,#ffff00,15.41,AAA
#000878,#ffff00,14.97,AAA
#000880,#ffff00,14.52,AAA
#000888,#ffff00,14.07,AAA
#000890,#ffff00,13.6,AAA
#000898,#ffff00,13.14,AAA
#0008a0,#ffff00,12.68,AAA
#0008a8,#ffff00,12.22,AAA
#0008b0,#ffff00,11.77,AAA
#0008b8,#ffff00,11.32,AAA
#0008c0,#ffff00,10.89,AAA
#0008c8,#ffff00,10.46,AAA
#0008d0,#ffff00,10.05,AAA
#0008d8,#ffff00,9.65,AAA
#0008e0,#ffff00,9.26,AAA
#0008e8,#ffff00,8.89,AAA
#0008f0,#ffff00,8.53,AAA
#0008f8,#ffff00,8.18,AAA
#001000,#ffff00,18.21,AAA
#001008,#ffff00,18.15,AAA
#001010,#ffff00,18.08,AAA
#001018,#ffff00,17.99,AAA
#001020,#ffff00,17.86,AAA
#001028,#ffff00,17.7,AAA
#001030,#ffff00,17.51,AAA
#001038,#ffff00,17.29,AAA
#001040,#ffff00,17.03,AAA
#001048,#ffff00,16.75,AAA
#001050,#ffff00,16.43,AAA
#001058,#ffff00,16.1,AAA
#001060,#ffff00,15.73,AAA
#001068,#ffff00,15.35,AAA
#001070,#ffff00,14.95,AAA
#001078,#ffff00,14.54,AAA
#001080,#ffff00,14.11,AAA
#001088,#ffff00,13.68,AAA
#001090,#ffff00,13.24,AAA
#001098,#ffff00,12.8,AAA
#0010a0,#ffff00,12.36,AAA
#0010a8,#ffff00,11.93,AAA
#0010b0,#ffff00,11.5,AAA
#0010b8,#ffff00,11.07,AAA
#0010c0,#ffff00,10.66,AAA
#0010c8,#ffff00,10.25,AAA
#0010d0,#ffff00,9.85,AAA
#0010d8,#ffff00,9.47,AAA
#0010e0,#ffff00,9.09,AAA
#0010e8,#ffff00,8.73,AAA
#0010f0,#ffff00,8.38,AAA
#0010f8,#ffff00,8.05,AAA
#001800,#ffff00,17.3,AAA
#001808,#ffff00,17.24,AAA
#001810,#ffff00,17.18,AAA
#001818,#ffff00,17.1,AAA
#001820,#ffff00,16.98,AAA
#001828,#ffff00,16.84,AAA
#001830,#ffff00,16.67,AAA
#001838,#ffff00,16.46,AAA
#001840,#ffff00,16.23,AAA
#001848,#ffff00,15.97,AAA
#001850,#ffff00,15.69,AAA
#001858,#ffff00,15.38,AAA
#001860,#ffff00,15.05,AAA
#001868,#ffff00,14.7,AAA
#001870,#ffff00,14.33,AAA
#001878,#ffff00,13.95,AAA
#001880,#ffff00,13.56,AAA
#001888,#ffff00,13.16,AAA
#001890,#ffff00,12.75,AAA
#001898,#ffff00,12.35,AAA
#0018a0,#ffff00,11.94,AAA
#0018a8,#ffff00,11.53,AAA
#0018b0,#ffff00,11.13,AAA
#0018b8,#ffff00,10.73,AAA
#0018c0,#ffff00,10.34,AAA
#0018c8,#ffff00,9.95,AAA
#0018d0,#ffff00,9.58,AAA
#0018d8,#ffff00,9.21,AAA
#0018e0,#ffff00,8.86,AAA
#0018e8,#ffff00,8.52,AAA
#0018f0,#ffff00,8.19,AAA
#0018f8,#ffff00,7.87,AAA
#002000,#ffff00,16.21,AAA
#002008,#ffff00,16.16,AAA
#002010,#ffff00,16.11,AAA
#002018,#ffff00,16.03,AAA
#002020,#ffff00,15.93,AAA
#002028,#ffff00,15.81,AAA
#002030,#ffff00,15.65,AAA
#002038,#ffff00,15.48,AAA
#002040,#ffff00,15.27,AAA
#002048,#ffff00,15.04,AAA
#002050,#ffff00,14.79,AAA
#002058,#ffff00,14.51,AAA
#002060,#ffff00,14.22,AAA
#002068,#ffff00,13.9,AAA
#002070,#ffff00,13.58,AAA
#002078,#ffff00,13.23,AAA
#002080,#ffff00,12.88,AAA
#002088,#ffff00,12.52,AAA
#002090,#ffff00,12.15,AAA
#002098,#ffff00,11.78,AAA
#0020a0,#ffff00,11.41,AAA
#0020a8,#ffff00,11.04,AAA
#0020b0,#ffff00,10.67,AAA
#0020b8,#ffff00,10.3,AAA
#0020c0,#ffff00,9.94,AAA
#0020c8,#ffff00,9.58,AAA
#0020d0,#ffff00,9.24,AAA
#0020d8,#ffff00,8.9,AAA
#0020e0,#ffff00,8.57,AAA
