color,bestColor,contrast,compliance
#000000,#ffffff,21.0,AAA
#000008,#ffffff,20.93,AAA
#000010,#ffffff,20.84,AAA
#000018,#ffffff,20.73,AAA
#000020,#ffffff,20.57,AAA
#000028,#ffffff,20.38,AAA
#000030,#ffffff,20.14,AAA
#000038,#ffffff,19.87,AAA
#000040,#ffffff,19.55,AAA
#000048,#ffffff,19.2,AAA
#000050,#ffffff,18.82,AAA
#000058,#ffffff,18.41,AAA
#000060,#ffffff,17.97,AAA
#000068,#ffffff,17.5,AAA
#000070,#ffffff,17.02,AAA
#000078,#ffffff,16.52,AAA
#000080,#ffffff,16.01,AAA
#000088,#ffffff,15.49,AAA
#000090,#ffffff,14.97,AAA
#000098,#ffffff,14.45,AAA
#0000a0,#ffffff,13.93,AAA
#0000a8,#ffffff,13.41,AAA
#0000b0,#ffffff,12.91,AAA
#0000b8,#ffffff,12.41,AAA
#0000c0,#ffffff,11.92,AAA
#0000c8,#ffffff,11.45,AAA
#0000d0,#ffffff,10.99,AAA
#0000d8,#ffffff,10.54,AAA
#0000e0,#ffffff,10.11,AAA
#0000e8,#ffffff,9.7,AAA
#0000f0,#ffffff,9.3,AAA
#0000f8,#ffffff,8.92,AAA
#000800,#ffffff,20.3,AAA
#000808,#ffffff,20.23,AAA
#000810,#ffffff,20.15,AAA
#000818,#ffffff,20.04,AAA
#000820,#ffffff,19.89,AAA
#000828,#ffffff,19.71,AAA
#000830,#ffffff,19.49,AAA
#000838,#ffffff,19.23,AAA
#000840,#ffffff,18.94,AAA
#000848,#ffffff,18.61,AAA
#000850,#ffffff,18.25,AAA
#000858,#ffffff,17.86,AAA
#000860,#ffffff,17.45,AAA
#000868,#ffffff,17.01,AAA
#000870,#ffffff,16.55,AAA
#000878,#ffffff,16.08,AAA
#000880,#ffffff,15.6,AAA
#000888,#ffffff,15.11,AAA
#000890,#ffffff,14.61,AAA
#000898,#ffffff,14.11,AAA
#0008a0,#ffffff,13.62,AAA
#0008a8,#ffffff,13.12,AAA
#0008b0,#ffffff,12.64,AAA
#0008b8,#ffffff,12.16,AAA
#0008c0,#ffffff,11.69,AAA
#0008c8,#ffffff,11.24,AAA
#0008d0,#ffffff,10.79,AAA
#0008d8,#ffffff,10.36,AAA
#0008e0,#ffffff,9.95,AAA
#0008e8,#ffffff,9.55,AAA
#0008f0,#ffffff,9.16,AAA
#0008f8,#ffffff,8.79,AAA
#001000,#ffffff,19.55,AAA
#001008,#ffffff,19.49,AAA
#001010,#ffffff,19.42,AAA
#001018,#ffffff,19.31,AAA
#001020,#ffffff,19.18,AAA
#001028,#ffffff,19.01,AAA
#001030,#ffffff,18.8,AAA
#001038,#ffffff,18.56,AAA
#001040,#ffffff,18.29,AAA
#001048,#ffffff,17.98,AAA
#001050,#ffffff,17.65,AAA
#001058,#ffffff,17.28,AAA
#001060,#ffffff,16.89,AAA
#001068,#ffffff,16.48,AAA
#001070,#ffffff,16.05,AAA
#001078,#ffffff,15.61,AAA
#001080,#ffffff,15.15,AAA
#001088,#ffffff,14.69,AAA
#001090,#ffffff,14.22,AAA
#001098,#ffffff,13.75,AAA
#0010a0,#ffffff,13.28,AAA
#0010a8,#ffffff,12.81,AAA
#0010b0,#ffffff,12.35,AAA
#0010b8,#ffffff,11.89,AAA
#0010c0,#ffffff,11.44,AAA
#0010c8,#ffffff,11.01,AAA
#0010d0,#ffffff,10.58,AAA
#0010d8,#ffffff,10.17,AAA
