color,bestColor,contrast,compliance
#000000,#00ff00,15.3,AAA
#000008,#00ff00,15.25,AAA
#000010,#00ff00,15.19,AAA
#000018,#00ff00,15.1,AAA
#000020,#00ff00,14.99,AAA
#000028,#00ff00,14.85,AAA
#000030,#00ff00,14.68,AAA
#000038,#00ff00,14.48,AAA
#000040,#00ff00,14.25,AAA
#000048,#00ff00,13.99,AAA
#000050,#00ff00,13.72,AAA
#000058,#00ff00,13.41,AAA
#000060,#00ff00,13.09,AAA
#000068,#00ff00,12.75,AAA
#000070,#00ff00,12.4,AAA
#000078,#00ff00,12.04,AAA
#000080,#00ff00,11.67,AAA
#000088,#00ff00,11.29,AAA
#000090,#00ff00,10.91,AAA
#000098,#00ff00,10.53,AAA
#0000a0,#00ff00,10.15,AAA
#0000a8,#00ff00,9.78,AAA
#0000b0,#00ff00,9.41,AAA
#0000b8,#00ff00,9.04,AAA
#0000c0,#00ff00,8.69,AAA
#0000c8,#00ff00,8.34,AAA
#0000d0,#00ff00,8.01,AAA
#0000d8,#00ff00,7.68,AAA
#0000e0,#00ff00,7.37,AAA
#0000e8,#00ff00,7.07,AAA
#0000f0,#00ff00,6.78,AA
#0000f8,#00ff00,6.5,AA
#000800,#00ff00,14.79,AAA
#000808,#00ff00,14.74,AAA
#000810,#00ff00,14.68,AAA
#000818,#00ff00,14.6,AAA
#000820,#00ff00,14.5,AAA
#000828,#00ff00,14.36,AAA
#000830,#00ff00,14.2,AAA
#000838,#00ff00,14.02,AAA
#000840,#00ff00,13.8,AAA
#000848,#00ff00,13.56,AAA
#000850,#00ff00,13.3,AAA
#000858,#00ff00,13.02,AAA
#000860,#00ff00,12.71,AAA
#000868,#00ff00,12.4,AAA
#000870,#00ff00,12.06,AAA
#000878,#00ff00,11.72,AAA
#000880,#00ff00,11.37,AAA
#000888,#00ff00,11.01,AAA
#000890,#00ff00,10.65,AAA
#000898,#00ff00,10.28,AAA
#0008a0,#00ff00,9.92,AAA
#0008a8,#00ff00,9.56,AAA
#0008b0,#00ff00,9.21,AAA
#0008b8,#00ff00,8.86,AAA
#0008c0,#00ff00,8.52,AAA
#0008c8,#00ff00,8.19,AAA
#0008d0,#00ff00,7.87,AAA
#0008d8,#00ff00,7.55,AAA
#0008e0,#00ff00,7.25,AAA
#0008e8,#00ff00,6.96,AA
#0008f0,#00ff00,6.67,AA
#0008f8,#00ff00,6.4,AA
#001000,#00ff00,14.25,AAA
#001008,#00ff00,14.2,AAA
#001010,#00ff00,14.15,AAA
#001018,#00ff00,14.08,AAA
#001020,#00ff00,13.98,AAA
#001028,#00ff00,13.85,AAA
#001030,#00ff00,13.7,AAA
#001038,#00ff00,13.53,AAA
#001040,#00ff00,13.33,AAA
#001048,#00ff00,13.11,AAA
#001050,#00ff00,12.86,AAA
#001058,#00ff00,12.6,AAA
#001060,#00ff00,12.31,AAA
#001068,#00ff00,12.01,AAA
#001070,#00ff00,11.7,AAA
#001078,#00ff00,11.38,AAA
#001080,#00ff00,11.04,AAA
#001088,#00ff00,10.7,AAA
#001090,#00ff00,10.36,AAA
#001098,#00ff00,10.02,AAA
#0010a0,#00ff00,9.68,AAA
#0010a8,#00ff00,9.33,AAA
#0010b0,#00ff00,9.0,AAA
#0010b8,#00ff00,8.66,AAA
#0010c0,#00ff00,8.34,AAA
#0010c8,#00ff00,8.02,AAA
#0010d0,#00ff00,7.71,AAA
#0010d8,#00ff00,7.41,AAA
#0010e0,#00ff00,7.12,AAA
#0010e8,#00ff00,6.83,AA
#0010f0,#00ff00,6.56,AA
#0010f8,#00ff00,6.3,AA
#001800,#00ff00,13.54,AAA
#001808,#00ff00,13.49,AAA
#001810,#00ff00,13.45,AAA
#001818,#00ff00,13.38,AAA
#001820,#00ff00,13.29,AAA
#001828,#00ff00,13.18,AAA
#001830,#00ff00,13.04,AAA
#001838,#00ff00,12.88,AAA
#001840,#00ff00,12.7,AAA
#001848,#00ff00,12.5,AAA
#001850,#00ff00,12.28,AAA
#001858,#00ff00,12.04,AAA
#001860,#00ff00,11.78,AAA
#001868,#00ff00,11.5,AAA
#001870,#00ff00,11.21,AAA
#001878,#00ff00,10.92,AAA
#001880,#00ff00,10.61,AAA
#001888,#00ff00,10.3,AAA
#001890,#00ff00,9.98,AAA
#001898,#00ff00,9.66,AAA
#0018a0,#00ff00,9.34,AAA
#0018a8,#00ff00,9.02,AAA
#0018b0,#00ff00,8.71,AAA
#0018b8,#00ff00,8.4,AAA
#0018c0,#00ff00,8.09,AAA
#0018c8,#00ff00,7.79,AAA
#0018d0,#00ff00,7.5,AAA
#0018d8,#00ff00,7.21,AAA
#0018e0,#00ff00,6.93,AA
#0018e8,#00ff00,6.67,AA
#0018f0,#00ff00,6.41,AA
#0018f8,#00ff00,6.16,AA
#002000,#00ff00,12.68,AAA
#002008,#00ff00,12.65,AAA
#002010,#00ff00,12.61,AAA
#002018,#00ff00,12.55,AAA
#002020,#00ff00,12.47,AAA
#002028,#00ff00,12.37,AAA
#002030,#00ff00,12.25,AAA
#002038,#00ff00,12.11,AAA
#002040,#00ff00,11.95,AAA
#002048,#00ff00,11.77,AAA
#002050,#00ff00,11.57,AAA
#002058,#00ff00,11.36,AAA
#002060,#00ff00,11.13,AAA
#002068,#00ff00,10.88,AAA
#002070,#00ff00,10.62,AAA
#002078,#00ff00,10.36,AAA
#002080,#00ff00,10.08,AAA
#002088,#00ff00,9.8,AAA
#002090,#00ff00,9.51,AAA
#002098,#00ff00,9.22,AAA
#0020a0,#00ff00,8.93,AAA
#0020a8,#00ff00,8.64,AAA
#0020b0,#00ff00,8.35,AAA
#0020b8,#00ff00,8.06,AAA
#0020c0,#00ff00,7.78,AAA
#0020c8,#00ff00,7.5,AAA
#0020d0,#00ff00,7.23,AAA
#0020d8,#00ff00,6.96,AA
#0020e0,#00ff00,6.7,AA
#0020e8,#00ff00,6.45,AA
#0020f0,#00ff00,6.21,AA
#0020f8,#00ff00,5.97,AA
#002800,#00ff00,11.74,AAA
#002808,#00ff00,11.71,AAA
#002810,#00ff00,11.67,AAA
#002818,#00ff00,11.62,AAA
#002820,#00ff00,11.56,AAA
#002828,#00ff00,11.47,AAA
#002830,#00ff00,11.37,AAA
#002838,#00ff00,11.25,AAA
#002840,#00ff00,11.11,AAA
#002848,#00ff00,10.95,AAA
#002850,#00ff00,10.78,AAA
#002858,#00ff00,10.6,AAA
#002860,#00ff00,10.39,AAA
#002868,#00ff00,10.18,AAA
#002870,#00ff00,9.95,AAA
#002878,#00ff00,9.72,AAA
#002880,#00ff00,9.47,AAA
#002888,#00ff00,9.22,AAA
#002890,#00ff00,8.97,AAA
#002898,#00ff00,8.71,AAA
#0028a0,#00ff00,8.45,AAA
#0028a8,#00ff00,8.19,AAA
#0028b0,#00ff00,7.93,AAA
#0028b8,#00ff00,7.67,AAA
#0028c0,#00ff00,7.41,AAA
#0028c8,#00ff00,7.16,AAA
#0028d0,#00ff00,6.91,AA
#0028d8,#00ff00,6.67,AA
#0028e0,#00ff00,6.43,AA
#0028e8,#00ff00,6.2,AA
#0028f0,#00ff00,5.97,AA
#0028f8,#00ff00,5.76,AA
#003000,#00ff00,10.76,AAA
#003008,#00ff00,10.73,AAA
#003010,#00ff00,10.7,AAA
#003018,#00ff00,10.66,AAA
#003020,#00ff00,10.6,AAA
#003028,#00ff00,10.53,AAA
#003030,#00ff00,10.44,AAA
#003038,#00ff00,10.34,AAA
#003040,#00ff00,10.22,AAA
#003048,#00ff00,10.09,AAA
#003050,#00ff00,9.95,AAA
#003058,#00ff00,9.79,AAA
#003060,#00ff00,9.61,AAA
#003068,#00ff00,9.43,AAA
#003070,#00ff00,9.24,AAA
#003078,#00ff00,9.03,AAA
#003080,#00ff00,8.82,AAA
#003088,#00ff00,8.61,AAA
#003090,#00ff00,8.38,AAA
#003098,#00ff00,8.16,AAA
#0030a0,#00ff00,7.93,AAA
#0030a8,#00ff00,7.7,AAA
#0030b0,#00ff00,7.47,AAA
#0030b8,#00ff00,7.24,AAA
#0030c0,#00ff00,7.01,AAA
#0030c8,#00ff00,6.78,AA
#0030d0,#00ff00,6.56,AA
#0030d8,#00ff00,6.34,AA
#0030e0,#00ff00,6.12,AA
#0030e8,#00ff00,5.91,AA
#0030f0,#00ff00,5.71,AA
#0030f8,#00ff00,5.51,AA
#003800,#00ff00,9.77,AAA
#003808,#00ff00,9.75,AAA
#003810,#00ff00,9.73,AAA
#003818,#00ff00,9.69,AAA
#003820,#00ff00,9.65,AAA
#003828,#00ff00,9.59,AAA
#003830,#00ff00,9.52,AAA
#003838,#00ff00,9.43,AAA
#003840,#00ff00,9.33,AAA
#003848,#00ff00,9.22,AAA
#003850,#00ff00,9.1,AAA
#003858,#00ff00,8.97,AAA
#003860,#00ff00,8.82,AAA
#003868,#00ff00,8.67,AAA
#003870,#00ff00,8.5,AAA
#003878,#00ff00,8.33,AAA
#003880,#00ff00,8.15,AAA
#003888,#00ff00,7.97,AAA
#003890,#00ff00,7.77,AAA
#003898,#00ff00,7.58,AAA
#0038a0,#00ff00,7.38,AAA
#0038a8,#00ff00,7.18,AAA
#0038b0,#00ff00,6.98,AA
#0038b8,#00ff00,6.78,AA
#0038c0,#00ff00,6.58,AA
#0038c8,#00ff00,6.38,AA
#0038d0,#00ff00,6.18,AA
#0038d8,#00ff00,5.98,AA
#0038e0,#00ff00,5.79,AA
#0038e8,#00ff00,5.6,AA
