color,bestColor,contrast,compliance
#000000,#ffff00,19.56,AAA
#000020,#ffff00,19.16,AAA
#000040,#ffff00,18.21,AAA
#000060,#ffff00,16.73,AAA
#000080,#ffff00,14.91,AAA
#0000a0,#ffff00,12.97,AAA
#0000c0,#ffff00,11.1,AAA
#0000e0,#ffff00,9.42,AAA
#002000,#ffff00,16.21,AAA
#002020,#ffff00,15.93,AAA
#002040,#ffff00,15.27,AAA
#002060,#ffff00,14.22,AAA
#002080,#ffff00,12.88,AAA
#0020a0,#ffff00,11.41,AAA
#0020c0,#ffff00,9.94,AAA
#0020e0,#ffff00,8.57,AAA
#004000,#ffff00,11.28,AAA
#004020,#ffff00,11.15,AAA
#004040,#ffff00,10.82,AAA
#004060,#ffff00,10.28,AAA
#004080,#ffff00,9.56,AAA
#0040a0,#ffff00,8.73,AAA
#0040c0,#ffff00,7.84,AAA
#0040e0,#ffff00,6.96,AA
#006000,#ffff00,7.32,AAA
#006020,#ffff00,7.26,AAA
#006040,#ffff00,7.12,AAA
#006060,#ffff00,6.88,AA
#006080,#ffff00,6.55,AA
#0060a0,#ffff00,6.15,AA
#0060c0,#ffff00,5.69,AA
#0060e0,#ffff00,5.22,AA
#008000,#ffff00,4.78,AA
#008020,#ffff00,4.76,AA
#008040,#ffff00,4.7,AA
#008060,#ffff00,4.59,AA
#008080,#ffff00,4.45,None
#0080a0,#ffff00,4.26,None
#0080c0,#ffff00,4.03,None
#0080e0,#ffff00,3.79,None
#00a000,#ffff00,3.24,None
#00a020,#ffff00,3.23,None
#00a040,#ffff00,3.2,None
#00a060,#ffff00,3.16,None
#00a080,#ffff00,3.08,None
#00a0a0,#ffff00,2.99,None
#00a0c0,#ffff00,2.88,None
#00a0e0,#ffff00,2.75,None
#00c000,#ffff00,2.29,None
#00c020,#ffff00,2.28,None
#00c040,#ffff00,2.27,None
#00c060,#ffff00,2.25,None
#00c080,#ffff00,2.21,None
#00c0a0,#ffff00,2.16,None
#00c0c0,#ffff00,2.1,None
#00c0e0,#ffff00,2.03,None
#00e000,#ff00ff,1.74,None
#00e020,#ff00ff,1.74,None
#00e040,#ff00ff,1.75,None
#00e060,#ff00ff,1.77,None
#00e080,#ff00ff,1.79,None
#00e0a0,#ff00ff,1.82,None
#00e0c0,#ff00ff,1.86,None
#00e0e0,#ff00ff,1.9,None
#200000,#ffff00,18.42,AAA
#200020,#ffff00,18.07,AAA
#200040,#ffff00,17.22,AAA
#200060,#ffff00,15.9,AAA
#200080,#ffff00,14.24,AAA
#2000a0,#ffff00,12.46,AAA
#2000c0,#ffff00,10.73,AAA
#2000e0,#ffff00,9.15,AAA
#202000,#ffff00,15.42,AAA
#202020,#ffff00,15.17,AAA
#202040,#ffff00,14.57,AAA
#202060,#ffff00,13.61,AAA
#202080,#ffff00,12.38,AAA
#2020a0,#ffff00,11.01,AAA
#2020c0,#ffff00,9.64,AAA
#2020e0,#ffff00,8.34,AAA
#204000,#ffff00,10.9,AAA
#204020,#ffff00,10.77,AAA
#204040,#ffff00,10.46,AAA
#204060,#ffff00,9.96,AAA
#204080,#ffff00,9.28,AAA
#2040a0,#ffff00,8.49,AAA
#2040c0,#ffff00,7.65,AAA
#2040e0,#ffff00,6.81,AA
#206000,#ffff00,7.15,AAA
#206020,#ffff00,7.1,AAA
#206040,#ffff00,6.96,AA
#206060,#ffff00,6.74,AA
#206080,#ffff00,6.42,AA
#2060a0,#ffff00,6.03,AA
#2060c0,#ffff00,5.59,AA
#2060e0,#ffff00,5.13,AA
#208000,#ffff00,4.71,AA
#208020,#ffff00,4.69,AA
#208040,#ffff00,4.63,AA
#208060,#ffff00,4.53,AA
#208080,#ffff00,4.38,None
#2080a0,#ffff00,4.2,None
#2080c0,#ffff00,3.98,None
#2080e0,#ffff00,3.74,None
#20a000,#ffff00,3.21,None
#20a020,#ffff00,3.2,None
#20a040,#ffff00,3.17,None
#20a060,#ffff00,3.12,None
#20a080,#ffff00,3.05,None
#20a0a0,#ffff00,2.96,None
#20a0c0,#ffff00,2.85,None
#20a0e0,#ffff00,2.73,None
#20c000,#ffff00,2.27,None
#20c020,#ffff00,2.27,None
#20c040,#ffff00,2.25,None
#20c060,#ffff00,2.23,None
#20c080,#ffff00,2.19,None
#20c0a0,#ffff00,2.15,None
#20c0c0,#ffff00,2.09,None
#20c0e0,#ffff00,2.02,None
#20e000,#ff00ff,1.75,None
#20e020,#ff00ff,1.75,None
#20e040,#ff00ff,1.76,None
#20e060,#ff00ff,1.78,None
#20e080,#ff00ff,1.8,None
#20e0a0,#ff00ff,1.83,None
#20e0c0,#ff00ff,1.86,None
#20e0e0,#ff00ff,1.91,None
#400000,#ffff00,16.06,AAA
#400020,#ffff00,15.79,AAA
#400040,#ffff00,15.14,AAA
#400060,#ffff00,14.1,AAA
#400080,#ffff00,12.78,AAA
#4000a0,#ffff00,11.33,AAA
#4000c0,#ffff00,9.88,AAA
#4000e0,#ffff00,8.52,AAA
#402000,#ffff00,13.73,AAA
#402020,#ffff00,13.53,AAA
#402040,#ffff00,13.05,AAA
#402060,#ffff00,12.27,AAA
#402080,#ffff00,11.26,AAA
#4020a0,#ffff00,10.12,AAA
#4020c0,#ffff00,8.95,AAA
#4020e0,#ffff00,7.82,AAA
#404000,#ffff00,10.02,AAA
#404020,#ffff00,9.92,AAA
#404040,#ffff00,9.66,AAA
#404060,#ffff00,9.22,AAA
#404080,#ffff00,8.64,AAA
#4040a0,#ffff00,7.95,AAA
#4040c0,#ffff00,7.21,AAA
#4040e0,#ffff00,6.46,AA
#406000,#ffff00,6.76,AA
#406020,#ffff00,6.72,AA
#406040,#ffff00,6.6,AA
#406060,#ffff00,6.39,AA
#406080,#ffff00,6.11,AA
#4060a0,#ffff00,5.75,AA
#4060c0,#ffff00,5.35,AA
#4060e0,#ffff00,4.93,AA
#408000,#ffff00,4.54,AA
#408020,#ffff00,4.52,AA
#408040,#ffff00,4.47,None
#408060,#ffff00,4.37,None
#408080,#ffff00,4.24,None
#4080a0,#ffff00,4.06,None
#4080c0,#ffff00,3.86,None
#4080e0,#ffff00,3.63,None
#40a000,#ffff00,3.13,None
#40a020,#ffff00,3.12,None
#40a040,#ffff00,3.09,None
#40a060,#ffff00,3.05,None
#40a080,#ffff00,2.98,None
#40a0a0,#ffff00,2.9,None
#40a0c0,#ffff00,2.79,None
#40a0e0,#ffff00,2.67,None
#40c000,#ffff00,2.23,None
#40c020,#ffff00,2.23,None
#40c040,#ffff00,2.21,None
#40c060,#ffff00,2.19,None
#40c080,#ffff00,2.16,None
#40c0a0,#ffff00,2.11,None
#40c0c0,#ffff00,2.05,None
#40c0e0,#ffff00,1.99,None
#40e000,#ff00ff,1.77,None
#40e020,#ff00ff,1.78,None
#40e040,#ff00ff,1.79,None
#40e060,#ff00ff,1.8,None
#40e080,#ff00ff,1.82,None
#40e0a0,#ff00ff,1.85,None
#40e0c0,#ff00ff,1.89,None
#40e0e0,#ff00ff,1.93,None
#600000,#ffff00,13.06,AAA
#600020,#ffff00,12.88,AAA
#600040,#ffff00,12.45,AAA
#600060,#ffff00,11.74,AAA
#600080,#ffff00,10.81,AAA
#6000a0,#ffff00,9.75,AAA
#6000c0,#ffff00,8.66,AAA
#6000e0,#ffff00,7.6,AAA
#602000,#ffff00,11.48,AAA
#602020,#ffff00,11.34,AAA
#602040,#ffff00,11.0,AAA
#602060,#ffff00,10.44,AAA
#602080,#ffff00,9.7,AAA
#6020a0,#ffff00,8.84,AAA
#6020c0,#ffff00,7.93,AAA
#6020e0,#ffff00,7.03,AAA
#604000,#ffff00,8.77,AAA
#604020,#ffff00,8.69,AAA
#604040,#ffff00,8.49,AAA
#604060,#ffff00,8.15,AAA
#604080,#ffff00,7.69,AAA
#6040a0,#ffff00,7.14,AAA
#6040c0,#ffff00,6.54,AA
#6040e0,#ffff00,5.91,AA
#606000,#ffff00,6.17,AA
#606020,#ffff00,6.13,AA
#606040,#ffff00,6.03,AA
#606060,#ffff00,5.86,AA
#606080,#ffff00,5.62,AA
#6060a0,#ffff00,5.32,AA
#6060c0,#ffff00,4.97,AA
#6060e0,#ffff00,4.6,AA
#608000,#ffff00,4.27,None
#608020,#ffff00,4.25,None
#608040,#ffff00,4.2,None
#608060,#ffff00,4.11,None
#608080,#ffff00,3.99,None
#6080a0,#ffff00,3.84,None
#6080c0,#ffff00,3.66,None
#6080e0,#ffff00,3.45,None
#60a000,#ffff00,3.0,None
#60a020,#ffff00,2.99,None
#60a040,#ffff00,2.96,None
#60a060,#ffff00,2.92,None
#60a080,#ffff00,2.86,None
#60a0a0,#ffff00,2.78,None
#60a0c0,#ffff00,2.68,None
#60a0e0,#ffff00,2.57,None
#60c000,#ffff00,2.16,None
#60c020,#ffff00,2.16,None
#60c040,#ffff00,2.15,None
#60c060,#ffff00,2.12,None
#60c080,#ffff00,2.09,None
#60c0a0,#ffff00,2.05,None
#60c0c0,#ffff00,2.0,None
#60c0e0,#ffff00,1.93,None
#60e000,#ff00ff,1.82,None
#60e020,#ff00ff,1.82,None
#60e040,#ff00ff,1.83,None
#60e060,#ff00ff,1.84,None
#60e080,#ff00ff,1.86,None
#60e0a0,#ff00ff,1.89,None
#60e0c0,#ff00ff,1.93,None
#60e0e0,#ff00ff,1.98,None
#800000,#ffff00,10.2,AAA
#800020,#ffff00,10.09,AAA
#800040,#ffff00,9.82,AAA
#800060,#ffff00,9.37,AAA
#800080,#ffff00,8.77,AAA
#8000a0,#ffff00,8.06,AAA
#8000c0,#ffff00,7.3,AAA
#8000e0,#ffff00,6.53,AA
#802000,#ffff00,9.21,AAA
#802020,#ffff00,9.12,AAA
#802040,#ffff00,8.9,AAA
#802060,#ffff00,8.53,AAA
#802080,#ffff00,8.03,AAA
#8020a0,#ffff00,7.43,AAA
#8020c0,#ffff00,6.78,AA
#8020e0,#ffff00,6.11,AA
#804000,#ffff00,7.38,AAA
#804020,#ffff00,7.32,AAA
#804040,#ffff00,7.18,AAA
#804060,#ffff00,6.93,AA
#804080,#ffff00,6.6,AA
#8040a0,#ffff00,6.19,AA
#8040c0,#ffff00,5.73,AA
#8040e0,#ffff00,5.25,AA
#806000,#ffff00,5.45,AA
#806020,#ffff00,5.41,AA
#806040,#ffff00,5.34,AA
#806060,#ffff00,5.2,AA
#806080,#ffff00,5.01,AA
#8060a0,#ffff00,4.77,AA
#8060c0,#ffff00,4.49,None
#8060e0,#ffff00,4.19,None
#808000,#ffff00,3.91,None
#808020,#ffff00,3.89,None
#808040,#ffff00,3.85,None
#808060,#ffff00,3.78,None
#808080,#ffff00,3.68,None
#8080a0,#ffff00,3.55,None
#8080c0,#ffff00,3.39,None
#8080e0,#ffff00,3.22,None
#80a000,#ffff00,2.82,None
#80a020,#ffff00,2.81,None
#80a040,#ffff00,2.79,None
#80a060,#ffff00,2.75,None
#80a080,#ffff00,2.69,None
#80a0a0,#ffff00,2.62,None
#80a0c0,#ffff00,2.54,None
#80a0e0,#ffff00,2.44,None
#80c000,#ffff00,2.07,None
#80c020,#ffff00,2.06,None
#80c040,#ffff00,2.05,None
#80c060,#ffff00,2.03,None
#80c080,#ffff00,2.0,None
#80c0a0,#ffff00,1.96,None
#80c0c0,#ffff00,1.91,None
#80c0e0,#ffff00,1.86,None
#80e000,#ff00ff,1.88,None
#80e020,#ff00ff,1.88,None
#80e040,#ff00ff,1.89,None
#80e060,#ff00ff,1.9,None
#80e080,#ff00ff,1.93,None
#80e0a0,#ff00ff,1.95,None
#80e0c0,#ff00ff,1.99,None
#80e0e0,#ff00ff,2.04,None
#a00000,#ffff00,7.84,AAA
#a00020,#ffff00,7.77,AAA
#a00040,#ffff00,7.61,AAA
#a00060,#ffff00,7.34,AAA
#a00080,#ffff00,6.97,AA
#a000a0,#ffff00,6.51,AA
#a000c0,#ffff00,6.01,AA
#a000e0,#ffff00,5.48,AA
#a02000,#ffff00,7.24,AAA
#a02020,#ffff00,7.18,AAA
#a02040,#ffff00,7.05,AAA
#a02060,#ffff00,6.81,AA
#a02080,#ffff00,6.49,AA
#a020a0,#ffff00,6.09,AA
#a020c0,#ffff00,5.65,AA
#a020e0,#ffff00,5.18,AA
#a04000,#ffff00,6.06,AA
#a04020,#ffff00,6.02,AA
#a04040,#ffff00,5.92,AA
#a04060,#ffff00,5.76,AA
#a04080,#ffff00,5.52,AA
#a040a0,#ffff00,5.23,AA
#a040c0,#ffff00,4.9,AA
#a040e0,#ffff00,4.54,AA
#a06000,#ffff00,4.69,AA
#a06020,#ffff00,4.67,AA
#a06040,#ffff00,4.61,AA
#a06060,#ffff00,4.51,AA
#a06080,#ffff00,4.37,None
#a060a0,#ffff00,4.18,None
#a060c0,#ffff00,3.97,None
#a060e0,#ffff00,3.73,None
#a08000,#ffff00,3.5,None
#a08020,#ffff00,3.49,None
#a08040,#ffff00,3.46,None
#a08060,#ffff00,3.4,None
#a08080,#ffff00,3.32,None
#a080a0,#ffff00,3.21,None
#a080c0,#ffff00,3.08,None
#a080e0,#ffff00,2.94,None
#a0a000,#ffff00,2.6,None
#a0a020,#ffff00,2.59,None
#a0a040,#ffff00,2.57,None
#a0a060,#ffff00,2.54,None
#a0a080,#ffff00,2.5,None
#a0a0a0,#ffff00,2.44,None
#a0a0c0,#ffff00,2.36,None
#a0a0e0,#ffff00,2.27,None
#a0c000,#ffff00,1.95,None
#a0c020,#ffff00,1.94,None
#a0c040,#ffff00,1.93,None
#a0c060,#ffff00,1.92,None
#a0c080,#ffff00,1.89,None
#a0c0a0,#ffff00,1.86,None
#a0c0c0,#ffff00,1.81,None
#a0c0e0,#ffff00,1.76,None
#a0e000,#ff00ff,1.96,None
#a0e020,#ff00ff,1.97,None
#a0e040,#ff00ff,1.98,None
#a0e060,#ff00ff,1.99,None
#a0e080,#ff00ff,2.01,None
#a0e0a0,#ff00ff,2.04,None
#a0e0c0,#ff00ff,2.08,None
#a0e0e0,#ff00ff,2.13,None
#c00000,#ffff00,6.03,AA
#c00020,#ffff00,5.99,AA
#c00040,#ffff00,5.9,AA
#c00060,#ffff00,5.73,AA
#c00080,#ffff00,5.5,AA
#c000a0,#ffff00,5.22,AA
#c000c0,#ffff00,4.89,AA
#c000e0,#ffff00,4.53,AA
#c02000,#ffff00,5.67,AA
#c02020,#ffff00,5.64,AA
#c02040,#ffff00,5.55,AA
#c02060,#ffff00,5.41,AA
#c02080,#ffff00,5.2,AA
#c020a0,#ffff00,4.94,AA
#c020c0,#ffff00,4.65,AA
#c020e0,#ffff00,4.32,None
#c04000,#ffff00,4.92,AA
#c04020,#ffff00,4.89,AA
#c04040,#ffff00,4.83,AA
#c04060,#ffff00,4.72,AA
#c04080,#ffff00,4.56,AA
#c040a0,#ffff00,4.36,None
#c040c0,#ffff00,4.13,None
#c040e0,#ffff00,3.87,None
#c06000,#ffff00,3.98,None
#c06020,#ffff00,3.96,None
#c06040,#ffff00,3.92,None
#c06060,#ffff00,3.85,None
#c06080,#ffff00,3.74,None
#c060a0,#ffff00,3.61,None
#c060c0,#ffff00,3.45,None
#c060e0,#ffff00,3.26,None
#c08000,#ffff00,3.09,None
#c08020,#ffff00,3.08,None
#c08040,#ffff00,3.05,None
#c08060,#ffff00,3.01,None
#c08080,#ffff00,2.94,None
#c080a0,#ffff00,2.86,None
#c080c0,#ffff00,2.76,None
#c080e0,#ffff00,2.64,None
#c0a000,#ffff00,2.36,None
#c0a020,#ffff00,2.36,None
#c0a040,#ffff00,2.34,None
#c0a060,#ffff00,2.32,None
#c0a080,#ffff00,2.28,None
#c0a0a0,#ffff00,2.23,None
#c0a0c0,#ffff00,2.17,None
#c0a0e0,#ffff00,2.09,None
#c0c000,#ffff00,1.81,None
#c0c020,#ffff00,1.81,None
#c0c040,#ffff00,1.8,None
#c0c060,#ffff00,1.79,None
#c0c080,#ffff00,1.76,None
#c0c0a0,#ffff00,1.73,None
#c0c0c0,#ff00ff,1.72,None
#c0c0e0,#ff00ff,1.77,None
#c0e000,#ff00ff,2.08,None
#c0e020,#ff00ff,2.08,None
#c0e040,#ff00ff,2.09,None
#c0e060,#ff00ff,2.1,None
#c0e080,#ff00ff,2.12,None
#c0e0a0,#ff00ff,2.15,None
#c0e0c0,#ff00ff,2.19,None
#c0e0e0,#ff00ff,2.24,None
#e00000,#ffff00,4.69,AA
#e00020,#ffff00,4.67,AA
#e00040,#ffff00,4.61,AA
#e00060,#ffff00,4.51,AA
#e00080,#ffff00,4.36,None
#e000a0,#ffff00,4.18,None
#e000c0,#ffff00,3.97,None
#e000e0,#ffff00,3.73,None
#e02000,#ffff00,4.47,None
#e02020,#ffff00,4.45,None
#e02040,#ffff00,4.39,None
#e02060,#ffff00,4.3,None
#e02080,#ffff00,4.17,None
#e020a0,#ffff00,4.0,None
#e020c0,#ffff00,3.81,None
#e020e0,#ffff00,3.59,None
#e04000,#ffff00,3.99,None
#e04020,#ffff00,3.97,None
#e04040,#ffff00,3.93,None
#e04060,#ffff00,3.86,None
#e04080,#ffff00,3.75,None
#e040a0,#ffff00,3.61,None
#e040c0,#ffff00,3.45,None
#e040e0,#ffff00,3.27,None
#e06000,#ffff00,3.35,None
#e06020,#ffff00,3.34,None
#e06040,#ffff00,3.31,None
#e06060,#ffff00,3.25,None
#e06080,#ffff00,3.18,None
#e060a0,#ffff00,3.08,None
#e060c0,#ffff00,2.96,None
#e060e0,#ffff00,2.83,None
#e08000,#ffff00,2.69,None
#e08020,#ffff00,2.69,None
#e08040,#ffff00,2.67,None
#e08060,#ffff00,2.63,None
#e08080,#ffff00,2.58,None
#e080a0,#ffff00,2.52,None
#e080c0,#ffff00,2.44,None
#e080e0,#ffff00,2.35,None
#e0a000,#ffff00,2.13,None
#e0a020,#ffff00,2.12,None
#e0a040,#ffff00,2.11,None
#e0a060,#ffff00,2.09,None
#e0a080,#ffff00,2.06,None
#e0a0a0,#ffff00,2.01,None
#e0a0c0,#ffff00,1.96,None
#e0a0e0,#ffff00,1.9,None
#e0c000,#ff00ff,1.75,None
#e0c020,#ff00ff,1.75,None
#e0c040,#ff00ff,1.76,None
#e0c060,#ff00ff,1.77,None
#e0c080,#ff00ff,1.8,None
#e0c0a0,#ff00ff,1.82,None
#e0c0c0,#ff00ff,1.86,None
#e0c0e0,#ff00ff,1.91,None
#e0e000,#ff00ff,2.22,None
#e0e020,#ff00ff,2.22,None
#e0e040,#ff00ff,2.23,None
#e0e060,#ff00ff,2.24,None
#e0e080,#ff00ff,2.26,None
#e0e0a0,#ff00ff,2.29,None
#e0e0c0,#ff00ff,2.33,None
#e0e0e0,#ff00ff,2.38,None
