color,bestColor,contrast,compliance
#000000,#ffa500,10.63,AAA
#000020,#ffa500,10.42,AAA
#000040,#ffa500,9.9,AAA
#000060,#ffa500,9.1,AAA
#000080,#ffa500,8.11,AAA
#0000a0,#ffa500,7.05,AAA
#0000c0,#ffa500,6.04,AA
#0000e0,#ffa500,5.12,AA
#002000,#ffa500,8.81,AAA
#002020,#ffa500,8.66,AAA
#002040,#ffa500,8.3,AAA
#002060,#ffa500,7.73,AAA
#002080,#ffa500,7.0,AAA
#0020a0,#ffa500,6.2,AA
#0020c0,#ffa500,5.4,AA
#0020e0,#ffa500,4.66,AA
#004000,#ffa500,6.13,AA
#004020,#ffa500,6.06,AA
#004040,#ffa500,5.88,AA
#004060,#ffa500,5.59,AA
#004080,#ffa500,5.2,AA
#0040a0,#ffa500,4.75,AA
#0040c0,#ffa500,4.26,None
#0040e0,#ffa500,3.78,None
#006000,#ffa500,3.98,None
#006020,#ffa500,3.95,None
#006040,#ffa500,3.87,None
#006060,#ffa500,3.74,None
#006080,#ffa500,3.56,None
#0060a0,#ffa500,3.34,None
#0060c0,#ffa500,3.1,None
#0060e0,#ffa500,2.84,None
#008000,#ffa500,2.6,None
#008020,#ffa500,2.59,None
#008040,#ffa500,2.56,None
#008060,#ffa500,2.5,None
#008080,#ffa500,2.42,None
#0080a0,#ffa500,2.31,None
#0080c0,#ffa500,2.19,None
#0080e0,#800080,2.32,None
#00a000,#800080,2.7,None
#00a020,#800080,2.71,None
#00a040,#800080,2.74,None
#00a060,#800080,2.78,None
#00a080,#800080,2.84,None
#00a0a0,#800080,2.93,None
#00a0c0,#800080,3.05,None
#00a0e0,#800080,3.19,None
#00c000,#800080,3.83,None
#00c020,#800080,3.84,None
#00c040,#800080,3.86,None
#00c060,#800080,3.91,None
#00c080,#800080,3.97,None
#00c0a0,#800080,4.06,None
#00c0c0,#800080,4.17,None
#00c0e0,#800080,4.31,None
#00e000,#800080,5.23,AA
#00e020,#800080,5.24,AA
#00e040,#800080,5.26,AA
#00e060,#800080,5.31,AA
#00e080,#800080,5.37,AA
#00e0a0,#800080,5.46,AA
#00e0c0,#800080,5.57,AA
#00e0e0,#800080,5.71,AA
#200000,#ffa500,10.02,AAA
#200020,#ffa500,9.83,AAA
#200040,#ffa500,9.37,AAA
#200060,#ffa500,8.64,AAA
#200080,#ffa500,7.74,AAA
#2000a0,#ffa500,6.78,AA
#2000c0,#ffa500,5.83,AA
#2000e0,#ffa500,4.97,AA
#202000,#ffa500,8.39,AAA
#202020,#ffa500,8.25,AAA
#202040,#ffa500,7.92,AAA
#202060,#ffa500,7.4,AAA
#202080,#ffa500,6.73,AA
#2020a0,#ffa500,5.99,AA
#2020c0,#ffa500,5.24,AA
#2020e0,#ffa500,4.54,AA
#204000,#ffa500,5.93,AA
#204020,#ffa500,5.86,AA
#204040,#ffa500,5.69,AA
#204060,#ffa500,5.42,AA
#204080,#ffa500,5.05,AA
#2040a0,#ffa500,4.62,AA
#2040c0,#ffa500,4.16,None
#2040e0,#ffa500,3.7,None
#206000,#ffa500,3.89,None
#206020,#ffa500,3.86,None
#206040,#ffa500,3.79,None
#206060,#ffa500,3.66,None
#206080,#ffa500,3.49,None
#2060a0,#ffa500,3.28,None
#2060c0,#ffa500,3.04,None
#2060e0,#ffa500,2.79,None
#208000,#ffa500,2.56,None
#208020,#ffa500,2.55,None
#208040,#ffa500,2.52,None
#208060,#ffa500,2.46,None
#208080,#ffa500,2.38,None
#2080a0,#ffa500,2.28,None
#2080c0,#800080,2.2,None
#2080e0,#800080,2.34,None
#20a000,#800080,2.73,None
#20a020,#800080,2.74,None
#20a040,#800080,2.76,None
#20a060,#800080,2.81,None
#20a080,#800080,2.87,None
#20a0a0,#800080,2.96,None
#20a0c0,#800080,3.07,None
#20a0e0,#800080,3.21,None
#20c000,#800080,3.86,None
#20c020,#800080,3.87,None
#20c040,#800080,3.89,None
#20c060,#800080,3.93,None
#20c080,#800080,4.0,None
#20c0a0,#800080,4.09,None
#20c0c0,#800080,4.2,None
#20c0e0,#800080,4.34,None
#20e000,#800080,5.26,AA
#20e020,#800080,5.27,AA
#20e040,#800080,5.29,AA
#20e060,#800080,5.33,AA
#20e080,#800080,5.4,AA
#20e0a0,#800080,5.49,AA
#20e0c0,#800080,5.6,AA
#20e0e0,#800080,5.74,AA
#400000,#ffa500,8.73,AAA
#400020,#ffa500,8.58,AAA
#400040,#ffa500,8.23,AAA
#400060,#ffa500,7.67,AAA
#400080,#ffa500,6.95,AA
#4000a0,#ffa500,6.16,AA
#4000c0,#ffa500,5.37,AA
#4000e0,#ffa500,4.63,AA
#402000,#ffa500,7.46,AAA
#402020,#ffa500,7.36,AAA
#402040,#ffa500,7.1,AAA
#402060,#ffa500,6.67,AA
#402080,#ffa500,6.12,AA
#4020a0,#ffa500,5.5,AA
#4020c0,#ffa500,4.87,AA
#4020e0,#ffa500,4.25,None
#404000,#ffa500,5.45,AA
#404020,#ffa500,5.39,AA
#404040,#ffa500,5.25,AA
#404060,#ffa500,5.02,AA
#404080,#ffa500,4.7,AA
#4040a0,#ffa500,4.32,None
#4040c0,#ffa500,3.92,None
#4040e0,#ffa500,3.51,None
#406000,#ffa500,3.68,None
#406020,#ffa500,3.65,None
#406040,#ffa500,3.59,None
#406060,#ffa500,3.48,None
#406080,#ffa500,3.32,None
#4060a0,#ffa500,3.13,None
#4060c0,#ffa500,2.91,None
#4060e0,#ffa500,2.68,None
#408000,#ffa500,2.47,None
#408020,#ffa500,2.46,None
#408040,#ffa500,2.43,None
#408060,#ffa500,2.38,None
#408080,#ffa500,2.3,None
#4080a0,#ffa500,2.21,None
#4080c0,#800080,2.27,None
#4080e0,#800080,2.41,None
#40a000,#800080,2.8,None
#40a020,#800080,2.81,None
#40a040,#800080,2.83,None
#40a060,#800080,2.88,None
#40a080,#800080,2.94,None
#40a0a0,#800080,3.03,None
#40a0c0,#800080,3.14,None
#40a0e0,#800080,3.28,None
#40c000,#800080,3.93,None
#40c020,#800080,3.94,None
#40c040,#800080,3.96,None
#40c060,#800080,4.0,None
#40c080,#800080,4.07,None
#40c0a0,#800080,4.16,None
#40c0c0,#800080,4.27,None
#40c0e0,#800080,4.41,None
#40e000,#800080,5.33,AA
#40e020,#800080,5.34,AA
#40e040,#800080,5.36,AA
#40e060,#800080,5.4,AA
#40e080,#800080,5.47,AA
#40e0a0,#800080,5.56,AA
#40e0c0,#800080,5.67,AA
#40e0e0,#800080,5.81,AA
#600000,#ffa500,7.1,AAA
#600020,#ffa500,7.0,AAA
#600040,#ffa500,6.77,AA
#600060,#ffa500,6.38,AA
#600080,#ffa500,5.88,AA
#6000a0,#ffa500,5.3,AA
#6000c0,#ffa500,4.71,AA
#6000e0,#ffa500,4.13,None
#602000,#ffa500,6.24,AA
#602020,#ffa500,6.17,AA
#602040,#ffa500,5.98,AA
#602060,#ffa500,5.68,AA
#602080,#ffa500,5.28,AA
#6020a0,#ffa500,4.81,AA
#6020c0,#ffa500,4.31,None
#6020e0,#ffa500,3.82,None
#604000,#ffa500,4.77,AA
#604020,#ffa500,4.72,AA
#604040,#ffa500,4.61,AA
#604060,#ffa500,4.43,None
#604080,#ffa500,4.18,None
#6040a0,#ffa500,3.88,None
#6040c0,#ffa500,3.55,None
#6040e0,#ffa500,3.22,None
#606000,#ffa500,3.35,None
#606020,#ffa500,3.33,None
#606040,#ffa500,3.28,None
#606060,#ffa500,3.18,None
#606080,#ffa500,3.05,None
#6060a0,#ffa500,2.89,None
#6060c0,#ffa500,2.7,None
#6060e0,#ffa500,2.5,None
#608000,#ffa500,2.32,None
#608020,#ffa500,2.31,None
#608040,#ffa500,2.28,None
#608060,#ffa500,2.24,None
#608080,#800080,2.2,None
#6080a0,#800080,2.28,None
#6080c0,#800080,2.4,None
#6080e0,#800080,2.54,None
#60a000,#800080,2.93,None
#60a020,#800080,2.94,None
#60a040,#800080,2.96,None
#60a060,#800080,3.0,None
