color,bestColor,contrast,compliance
#000000,#ffff00,19.56,AAA
#000040,#ffff00,18.21,AAA
#000080,#ffff00,14.91,AAA
#0000c0,#ffff00,11.1,AAA
#004000,#ffff00,11.28,AAA
#004040,#ffff00,10.82,AAA
#004080,#ffff00,9.56,AAA
#0040c0,#ffff00,7.84,AAA
#008000,#ffff00,4.78,AA
#008040,#ffff00,4.7,AA
#008080,#ffff00,4.45,None
#0080c0,#ffff00,4.03,None
#00c000,#800080,3.83,None
#00c040,#800080,3.86,None
#00c080,#800080,3.97,None
#00c0c0,#800080,4.17,None
#400000,#ffff00,16.06,AAA
#400040,#ffff00,15.14,AAA
#400080,#ffff00,12.78,AAA
#4000c0,#ffff00,9.88,AAA
#404000,#ffff00,10.02,AAA
#404040,#ffff00,9.66,AAA
#404080,#ffff00,8.64,AAA
#4040c0,#ffff00,7.21,AAA
#408000,#ffff00,4.54,AA
#408040,#ffff00,4.47,None
#408080,#ffff00,4.24,None
#4080c0,#ffff00,3.86,None
#40c000,#800080,3.93,None
#40c040,#800080,3.96,None
#40c080,#800080,4.07,None
#40c0c0,#800080,4.27,None
#800000,#ffff00,10.2,AAA
#800040,#ffff00,9.82,AAA
#800080,#ffff00,8.77,AAA
#8000c0,#ffff00,7.3,AAA
#804000,#ffff00,7.38,AAA
#804040,#ffff00,7.18,AAA
#804080,#ffff00,6.6,AA
#8040c0,#ffff00,5.73,AA
#808000,#ffff00,3.91,None
#808040,#ffff00,3.85,None
#808080,#ffff00,3.68,None
#8080c0,#ffff00,3.39,None
#80c000,#800080,4.24,None
#80c040,#800080,4.28,None
#80c080,#800080,4.38,None
#80c0c0,#800080,4.58,AA
#c00000,#ffff00,6.03,AA
#c00040,#ffff00,5.9,AA
#c00080,#ffff00,5.5,AA
#c000c0,#ffff00,4.89,AA
#c04000,#ffff00,4.92,AA
#c04040,#ffff00,4.83,AA
#c04080,#ffff00,4.56,AA
#c040c0,#ffff00,4.13,None
#c08000,#ffff00,3.09,None
#c08040,#ffff00,3.05,None
#c08080,#800080,2.98,None
#c080c0,#800080,3.18,None
#c0c000,#800080,4.84,AA
#c0c040,#800080,4.87,AA
#c0c080,#800080,4.98,AA
#c0c0c0,#800080,5.18,AA
