color,bestColor,contrast,compliance
#000000,#ffffff,21.0,AAA
#000010,#ffffff,20.84,AAA
#000020,#ffffff,20.57,AAA
#000030,#ffffff,20.14,AAA
#000040,#ffffff,19.55,AAA
#000050,#ffffff,18.82,AAA
#000060,#ffffff,17.97,AAA
#000070,#ffffff,17.02,AAA
#000080,#ffffff,16.01,AAA
#000090,#ffffff,14.97,AAA
#0000a0,#ffffff,13.93,AAA
#0000b0,#ffffff,12.91,AAA
#0000c0,#ffffff,11.92,AAA
#0000d0,#ffffff,10.99,AAA
#0000e0,#ffffff,10.11,AAA
#0000f0,#ffffff,9.3,AAA
#001000,#ffffff,19.55,AAA
#001010,#ffffff,19.42,AAA
#001020,#ffffff,19.18,AAA
#001030,#ffffff,18.8,AAA
#001040,#ffffff,18.29,AAA
#001050,#ffffff,17.65,AAA
#001060,#ffffff,16.89,AAA
#001070,#ffffff,16.05,AAA
#001080,#ffffff,15.15,AAA
#001090,#ffffff,14.22,AAA
#0010a0,#ffffff,13.28,AAA
#0010b0,#ffffff,12.35,AAA
#0010c0,#ffffff,11.44,AAA
#0010d0,#ffffff,10.58,AAA
#0010e0,#ffffff,9.77,AAA
#0010f0,#ffffff,9.0,AAA
#002000,#ffffff,17.4,AAA
#002010,#ffffff,17.3,AAA
#002020,#ffffff,17.11,AAA
#002030,#ffffff,16.81,AAA
#002040,#ffffff,16.4,AAA
#002050,#ffffff,15.88,AAA
#002060,#ffffff,15.27,AAA
#002070,#ffffff,14.58,AAA
#002080,#ffffff,13.83,AAA
#002090,#ffffff,13.05,AAA
#0020a0,#ffffff,12.25,AAA
#0020b0,#ffffff,11.45,AAA
#0020c0,#ffffff,10.67,AAA
#0020d0,#ffffff,9.92,AAA
#0020e0,#ffffff,9.2,AAA
#0020f0,#ffffff,8.52,AAA
#003000,#ffffff,14.76,AAA
#003010,#ffffff,14.68,AAA
#003020,#ffffff,14.55,AAA
#003030,#ffffff,14.33,AAA
#003040,#ffffff,14.03,AAA
#003050,#ffffff,13.65,AAA
#003060,#ffffff,13.19,AAA
#003070,#ffffff,12.68,AAA
#003080,#ffffff,12.11,AAA
#003090,#ffffff,11.5,AAA
#0030a0,#ffffff,10.88,AAA
#0030b0,#ffffff,10.25,AAA
#0030c0,#ffffff,9.62,AAA
#0030d0,#ffffff,9.0,AAA
#0030e0,#ffffff,8.4,AAA
#0030f0,#ffffff,7.83,AAA
#004000,#ffffff,12.12,AAA
#004010,#ffffff,12.06,AAA
#004020,#ffffff,11.97,AAA
#004030,#ffffff,11.82,AAA
#004040,#ffffff,11.62,AAA
#004050,#ffffff,11.36,AAA
#004060,#ffffff,11.04,AAA
#004070,#ffffff,10.67,AAA
#004080,#ffffff,10.27,AAA
#004090,#ffffff,9.83,AAA
