color,bestColor,contrast,compliance
#000000,#ffa500,10.63,AAA
#000010,#ffa500,10.56,AAA
#000020,#ffa500,10.42,AAA
#000030,#ffa500,10.2,AAA
#000040,#ffa500,9.9,AAA
#000050,#ffa500,9.53,AAA
#000060,#ffa500,9.1,AAA
#000070,#ffa500,8.62,AAA
#000080,#ffa500,8.11,AAA
#000090,#ffa500,7.58,AAA
#0000a0,#ffa500,7.05,AAA
#0000b0,#ffa500,6.54,AA
#0000c0,#ffa500,6.04,AA
#0000d0,#ffa500,5.57,AA
#0000e0,#ffa500,5.12,AA
#0000f0,#ffa500,4.71,AA
#001000,#ffa500,9.9,AAA
#001010,#ffa500,9.83,AAA
#001020,#ffa500,9.71,AAA
#001030,#ffa500,9.52,AAA
#001040,#ffa500,9.26,AAA
#001050,#ffa500,8.94,AAA
#001060,#ffa500,8.55,AAA
#001070,#ffa500,8.13,AAA
#001080,#ffa500,7.67,AAA
#001090,#ffa500,7.2,AAA
#0010a0,#ffa500,6.72,AA
#0010b0,#ffa500,6.25,AA
#0010c0,#ffa500,5.79,AA
#0010d0,#ffa500,5.36,AA
#0010e0,#ffa500,4.94,AA
#0010f0,#ffa500,4.56,AA
#002000,#ffa500,8.81,AAA
#002010,#ffa500,8.76,AAA
#002020,#ffa500,8.66,AAA
#002030,#ffa500,8.51,AAA
#002040,#ffa500,8.3,AAA
#002050,#ffa500,8.04,AAA
#002060,#ffa500,7.73,AAA
#002070,#ffa500,7.38,AAA
#002080,#ffa500,7.0,AAA
#002090,#ffa500,6.61,AA
#0020a0,#ffa500,6.2,AA
#0020b0,#ffa500,5.8,AA
#0020c0,#ffa500,5.4,AA
#0020d0,#ffa500,5.02,AA
#0020e0,#ffa500,4.66,AA
#0020f0,#ffa500,4.31,None
#003000,#ffa500,7.47,AAA
#003010,#ffa500,7.44,AAA
#003020,#ffa500,7.37,AAA
#003030,#ffa500,7.26,AAA
#003040,#ffa500,7.1,AAA
#003050,#ffa500,6.91,AA
#003060,#ffa500,6.68,AA
#003070,#ffa500,6.42,AA
#003080,#ffa500,6.13,AA
#003090,#ffa500,5.83,AA
#0030a0,#ffa500,5.51,AA
#0030b0,#ffa500,5.19,AA
#0030c0,#ffa500,4.87,AA
#0030d0,#ffa500,4.56,AA
#0030e0,#ffa500,4.26,None
#0030f0,#ffa500,3.97,None
#004000,#ffa500,6.13,AA
#004010,#ffa500,6.11,AA
#004020,#ffa500,6.06,AA
#004030,#ffa500,5.99,AA
#004040,#ffa500,5.88,AA
#004050,#ffa500,5.75,AA
#004060,#ffa500,5.59,AA
#004070,#ffa500,5.41,AA
#004080,#ffa500,5.2,AA
#004090,#ffa500,4.98,AA
#0040a0,#ffa500,4.75,AA
#0040b0,#ffa500,4.51,AA
#0040c0,#ffa500,4.26,None
#0040d0,#ffa500,4.02,None
#0040e0,#ffa500,3.78,None
#0040f0,#ffa500,3.55,None
#005000,#ffa500,4.95,AA
#005010,#ffa500,4.93,AA
#005020,#ffa500,4.9,AA
#005030,#ffa500,4.86,AA
#005040,#ffa500,4.79,AA
#005050,#ffa500,4.7,AA
#005060,#ffa500,4.59,AA
#005070,#ffa500,4.47,None
#005080,#ffa500,4.32,None
#005090,#ffa500,4.17,None
#0050a0,#ffa500,4.01,None
#0050b0,#ffa500,3.83,None
#0050c0,#ffa500,3.66,None
#0050d0,#ffa500,3.48,None
#0050e0,#ffa500,3.3,None
#0050f0,#ffa500,3.12,None
#006000,#ffa500,3.98,None
#006010,#ffa500,3.97,None
#006020,#ffa500,3.95,None
#006030,#ffa500,3.92,None
#006040,#ffa500,3.87,None
#006050,#ffa500,3.81,None
#006060,#ffa500,3.74,None
#006070,#ffa500,3.66,None
#006080,#ffa500,3.56,None
#006090,#ffa500,3.46,None
#0060a0,#ffa500,3.34,None
#0060b0,#ffa500,3.22,None
#0060c0,#ffa500,3.1,None
#0060d0,#ffa500,2.97,None
#0060e0,#ffa500,2.84,None
#0060f0,#ffa500,2.7,None
#007000,#ffa500,3.21,None
#007010,#ffa500,3.2,None
#007020,#ffa500,3.19,None
#007030,#ffa500,3.16,None
#007040,#ffa500,3.14,None
#007050,#ffa500,3.1,None
#007060,#ffa500,3.05,None
#007070,#ffa500,2.99,None
#007080,#ffa500,2.93,None
#007090,#ffa500,2.86,None
#0070a0,#ffa500,2.78,None
#0070b0,#ffa500,2.7,None
#0070c0,#ffa500,2.61,None
#0070d0,#ffa500,2.51,None
#0070e0,#ffa500,2.42,None
#0070f0,#ffa500,2.32,None
#008000,#ffa500,2.6,None
#008010,#ffa500,2.6,None
#008020,#ffa500,2.59,None
#008030,#ffa500,2.57,None
#008040,#ffa500,2.56,None
#008050,#ffa500,2.53,None
#008060,#ffa500,2.5,None
#008070,#ffa500,2.46,None
#008080,#ffa500,2.42,None
#008090,#ffa500,2.37,None
#0080a0,#ffa500,2.31,None
#0080b0,#ffa500,2.26,None
#0080c0,#ffa500,2.19,None
#0080d0,#800080,2.24,None
#0080e0,#800080,2.32,None
#0080f0,#800080,2.4,None
#009000,#800080,2.24,None
#009010,#800080,2.24,None
#009020,#800080,2.25,None
#009030,#800080,2.26,None
#009040,#800080,2.27,None
#009050,#800080,2.29,None
#009060,#800080,2.31,None
#009070,#800080,2.34,None
#009080,#800080,2.38,None
#009090,#800080,2.42,None
#0090a0,#800080,2.47,None
#0090b0,#800080,2.52,None
#0090c0,#800080,2.58,None
#0090d0,#800080,2.65,None
#0090e0,#800080,2.72,None
#0090f0,#800080,2.8,None
#00a000,#800080,2.7,None
#00a010,#800080,2.71,None
#00a020,#800080,2.71,None
#00a030,#800080,2.72,None
#00a040,#800080,2.74,None
#00a050,#800080,2.76,None
#00a060,#800080,2.78,None
#00a070,#800080,2.81,None
#00a080,#800080,2.84,None
#00a090,#800080,2.88,None
#00a0a0,#800080,2.93,None
#00a0b0,#800080,2.99,None
#00a0c0,#800080,3.05,None
#00a0d0,#800080,3.11,None
#00a0e0,#800080,3.19,None
#00a0f0,#800080,3.27,None
#00b000,#800080,3.23,None
#00b010,#800080,3.24,None
#00b020,#800080,3.24,None
#00b030,#800080,3.25,None
#00b040,#800080,3.27,None
#00b050,#800080,3.29,None
#00b060,#800080,3.31,None
#00b070,#800080,3.34,None
#00b080,#800080,3.37,None
#00b090,#800080,3.41,None
#00b0a0,#800080,3.46,None
#00b0b0,#800080,3.52,None
#00b0c0,#800080,3.58,None
#00b0d0,#800080,3.64,None
#00b0e0,#800080,3.72,None
#00b0f0,#800080,3.8,None
#00c000,#800080,3.83,None
#00c010,#800080,3.83,None
#00c020,#800080,3.84,None
#00c030,#800080,3.85,None
#00c040,#800080,3.86,None
#00c050,#800080,3.88,None
#00c060,#800080,3.91,None
#00c070,#800080,3.94,None
#00c080,#800080,3.97,None
#00c090,#800080,4.01,None
#00c0a0,#800080,4.06,None
#00c0b0,#800080,4.11,None
#00c0c0,#800080,4.17,None
#00c0d0,#800080,4.24,None
#00c0e0,#800080,4.31,None
#00c0f0,#800080,4.39,None
#00d000,#800080,4.5,None
#00d010,#800080,4.5,None
#00d020,#800080,4.5,AA
#00d030,#800080,4.51,AA
#00d040,#800080,4.53,AA
#00d050,#800080,4.55,AA
#00d060,#800080,4.57,AA
#00d070,#800080,4.6,AA
#00d080,#800080,4.64,AA
#00d090,#800080,4.68,AA
#00d0a0,#800080,4.72,AA
#00d0b0,#800080,4.78,AA
#00d0c0,#800080,4.84,AA
#00d0d0,#800080,4.9,AA
#00d0e0,#800080,4.98,AA
#00d0f0,#800080,5.06,AA
#00e000,#800080,5.23,AA
#00e010,#800080,5.23,AA
#00e020,#800080,5.24,AA
#00e030,#800080,5.25,AA
#00e040,#800080,5.26,AA
#00e050,#800080,5.28,AA
#00e060,#800080,5.31,AA
#00e070,#800080,5.34,AA
#00e080,#800080,5.37,AA
#00e090,#800080,5.41,AA
#00e0a0,#800080,5.46,AA
#00e0b0,#800080,5.51,AA
#00e0c0,#800080,5.57,AA
#00e0d0,#800080,5.64,AA
#00e0e0,#800080,5.71,AA
#00e0f0,#800080,5.8,AA
#00f000,#800080,6.04,AA
#00f010,#800080,6.04,AA
#00f020,#800080,6.05,AA
#00f030,#800080,6.06,AA
#00f040,#800080,6.07,AA
